"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 07- 25","371.26","372.91","374.00","370.53","156.50M","-1.95%"
"2024- 07- 24","378.66","378.58","381.95","377.38","137.36M","-0.78%"
"2024- 07- 23","381.65","383.80","384.91","380.40","151.50M","0.48%"
"2024- 07- 22","379.84","383.44","384.25","378.06","127.34M","-1.05%"
"2024- 07- 19","383.89","385.02","385.71","381.21","127.88M","-1.31%"
"2024- 07- 18","389.00","385.24","389.00","384.53","269.87M","-0.65%"
"2024- 07- 17","391.55","394.93","395.48","391.22","197.25M","-0.95%"
"2024- 07- 16","395.31","393.80","396.18","393.20","164.80M","0.37%"
"2024- 07- 15","393.84","394.09","395.39","391.39","165.53M","0.40%"
"2024- 07- 12","392.29","394.49","395.23","390.43","174.14M","-1.56%"
"2024- 07- 11","398.52","398.82","400.31","396.69","163.31M","0.74%"
"2024- 07- 10","395.60","395.01","396.08","394.02","131.88M","-0.05%"
"2024- 07- 09","395.79","396.59","396.92","393.31","148.08M","0.33%"
"2024- 07- 08","394.47","395.62","396.90","394.02","127.69M","-0.25%"
"2024- 07- 05","395.47","390.51","396.42","390.49","153.44M","1.79%"
"2024- 07- 04","388.53","386.82","388.53","385.91","148.76M","1.38%"
"2024- 07- 03","383.23","383.18","383.48","379.89","122.48M","0.53%"
"2024- 07- 02","381.20","383.33","384.66","380.74","133.14M","-0.82%"
"2024- 07- 01","384.34","383.10","384.75","382.07","110.26M","0.08%"
"2024- 06- 28","384.02","383.50","384.02","381.49","122.28M","0.46%"
"2024- 06- 27","382.27","378.98","382.27","378.06","125.57M","-0.19%"
"2024- 06- 26","383.01","378.52","383.06","377.87","125.40M","0.83%"
"2024- 06- 25","379.85","378.12","380.94","378.12","132.67M","0.39%"
"2024- 06- 24","378.39","378.92","380.47","377.15","126.70M","-0.65%"
"2024- 06- 21","380.88","382.37","382.92","379.65","175.21M","-1.01%"
"2024- 06- 20","384.78","383.86","385.76","382.66","147.36M","0.46%"
"2024- 06- 19","383.01","381.28","383.72","381.21","168.57M","1.40%"
"2024- 06- 18","377.73","377.07","378.72","376.12","158.17M","1.04%"
"2024- 06- 17","373.86","375.42","376.57","373.32","130.80M","-0.57%"
"2024- 06- 14","376.00","375.76","377.68","374.50","173.20M","0.33%"
"2024- 06- 13","374.75","376.93","378.81","374.65","249.14M","0.98%"
"2024- 06- 12","371.12","368.43","371.71","367.90","134.89M","0.93%"
"2024- 06- 11","367.71","369.61","369.90","367.15","127.51M","0.07%"
"2024- 06- 10","367.46","367.76","370.35","366.35","116.15M","-1.06%"
"2024- 06- 07","371.39","370.80","372.81","368.57","126.62M","1.35%"
"2024- 06- 05","366.44","365.64","367.76","363.39","152.84M","1.08%"
"2024- 06- 04","362.52","363.37","365.07","362.23","169.15M","-0.81%"
"2024- 06- 03","365.48","361.66","367.01","361.61","174.46M","2.03%"
"2024- 05- 31","358.21","362.02","362.81","358.12","234.12M","-0.14%"
"2024- 05- 30","358.70","363.33","363.51","358.70","124.28M","-1.72%"
"2024- 05- 29","364.96","371.04","371.53","364.96","151.67M","-1.72%"
"2024- 05- 28","371.33","369.71","372.34","369.58","144.57M","0.05%"
"2024- 05- 27","371.16","366.98","371.86","366.29","216.89M","1.39%"
"2024- 05- 24","366.08","367.35","367.69","365.27","127.06M","-1.49%"
"2024- 05- 23","371.62","370.85","373.72","368.90","136.08M","0.06%"
"2024- 05- 22","371.41","371.14","372.69","368.72","139.39M","-0.04%"
"2024- 05- 21","371.55","372.39","373.07","370.90","119.55M","-0.57%"
"2024- 05- 20","373.68","373.20","375.70","372.22","154.41M","0.84%"
"2024- 05- 17","370.58","374.43","374.69","370.46","123.11M","-1.07%"
"2024- 05- 16","374.60","377.33","378.05","373.93","182.17M","0.96%"
"2024- 05- 14","371.04","371.69","372.12","369.90","124.26M","0.01%"
"2024- 05- 13","370.99","372.10","373.04","368.79","204.95M","-0.02%"
"2024- 05- 10","371.08","372.73","373.80","370.41","141.85M","0.61%"
"2024- 05- 09","368.83","373.70","374.46","368.76","146.40M","-1.41%"
"2024- 05- 08","374.09","372.32","374.12","371.58","126.97M","0.35%"
"2024- 05- 07","372.80","370.06","372.80","369.85","157.57M","2.54%"
"2024- 05- 03","363.58","367.57","367.91","363.58","90.44M","-0.20%"
"2024- 05- 02","364.31","363.37","365.69","363.37","107.17M","-0.22%"
"2024- 05- 01","365.13","365.17","367.94","364.20","130.23M","0.00%"
"2024- 04- 30","365.13","365.17","367.94","364.20","130.23M","0.18%"
"2024- 04- 29","364.48","363.71","364.73","362.13","145.79M","0.96%"
"2024- 04- 26","361.02","360.18","362.08","358.98","154.22M","1.27%"
"2024- 04- 25","356.51","359.05","360.57","356.51","107.77M","-1.95%"
"2024- 04- 24","363.60","361.66","364.07","361.34","115.52M","2.14%"
"2024- 04- 23","355.98","357.56","358.83","355.86","131.15M","-0.25%"
"2024- 04- 22","356.89","355.68","357.48","353.72","152.40M","1.22%"
"2024- 04- 19","352.58","353.90","355.37","347.12","163.74M","-1.80%"
"2024- 04- 18","359.06","354.25","360.33","353.48","155.19M","1.78%"
"2024- 04- 17","352.79","358.21","359.11","352.79","108.35M","-1.09%"
"2024- 04- 16","356.67","361.51","362.05","355.20","137.54M","-2.37%"
"2024- 04- 15","365.31","364.28","365.74","361.01","122.92M","-0.53%"
"2024- 04- 12","367.25","371.20","371.43","366.48","163.65M","-0.94%"
"2024- 04- 11","370.72","364.53","372.49","364.18","147.05M","0.12%"
"2024- 04- 09","370.27","374.66","375.47","369.96","124.59M","-0.60%"
"2024- 04- 08","372.51","372.62","373.96","371.60","117.62M","0.25%"
"2024- 04- 05","371.57","371.51","374.13","370.20","160.48M","-1.08%"
"2024- 04- 04","375.61","374.45","376.20","373.39","129.76M","1.59%"
"2024- 04- 03","369.72","373.09","373.63","369.72","155.08M","-1.76%"
"2024- 04- 02","376.34","374.16","377.29","373.44","149.55M","0.55%"
"2024- 04- 01","374.28","377.66","378.29","374.19","117.50M","-0.09%"
"2024- 03- 29","374.63","375.04","375.56","372.77","136.76M","0.38%"
"2024- 03- 28","373.22","373.78","374.80","372.23","134.09M","-0.23%"
"2024- 03- 27","374.08","372.58","375.33","372.48","147.63M","-0.14%"
"2024- 03- 26","374.60","373.77","377.83","373.18","135.11M","1.04%"
"2024- 03- 25","370.73","373.69","375.23","369.77","118.92M","-0.52%"
"2024- 03- 22","372.65","373.27","375.10","370.71","138.51M","-0.27%"
"2024- 03- 21","373.66","369.97","373.82","368.82","154.73M","2.85%"
"2024- 03- 20","363.32","361.07","363.58","359.93","147.69M","1.68%"
"2024- 03- 19","357.33","359.03","359.07","355.51","147.01M","-1.10%"
"2024- 03- 18","361.31","360.74","361.77","358.53","120.54M","0.53%"
"2024- 03- 15","359.39","364.12","364.67","359.39","201.92M","-1.99%"
"2024- 03- 14","366.68","363.85","366.68","363.50","266.38M","1.00%"
"2024- 03- 13","363.04","363.15","364.43","361.26","133.92M","0.53%"
"2024- 03- 12","361.11","359.95","362.00","357.88","125.85M","0.77%"
"2024- 03- 11","358.34","359.31","360.94","358.20","120.79M","-0.93%"
"2024- 03- 08","361.71","360.87","362.72","360.01","117.52M","1.37%"
"2024- 03- 07","356.82","357.80","358.61","354.96","120.27M","0.16%"
"2024- 03- 06","356.25","356.01","357.25","354.52","123.87M","-0.37%"
"2024- 03- 05","357.59","359.39","362.54","357.59","134.88M","-0.97%"
"2024- 03- 04","361.10","358.99","361.98","358.48","152.49M","1.56%"
"2024- 02- 29","355.57","355.38","356.46","353.29","187.60M","-0.34%"
"2024- 02- 28","356.79","353.06","357.51","352.31","127.22M","1.14%"
"2024- 02- 27","352.76","356.39","356.42","352.02","137.86M","-0.77%"
"2024- 02- 26","355.48","356.75","357.14","352.91","140.52M","-0.86%"
"2024- 02- 23","358.57","360.40","362.72","358.18","133.37M","0.25%"
"2024- 02- 22","357.67","358.87","358.97","355.86","128.28M","0.46%"
"2024- 02- 21","356.04","357.07","358.81","354.69","109.12M","-0.25%"
"2024- 02- 20","356.92","359.53","359.92","355.07","119.32M","-1.10%"
"2024- 02- 19","360.88","356.40","361.32","356.40","139.81M","1.51%"
"2024- 02- 16","355.52","354.19","355.58","352.17","121.46M","1.23%"
"2024- 02- 15","351.21","355.83","356.02","351.21","121.34M","-0.42%"
"2024- 02- 14","352.69","351.52","353.77","350.62","120.51M","-1.31%"
"2024- 02- 13","357.38","356.85","358.68","356.10","156.04M","1.16%"
"2024- 02- 08","353.29","353.44","354.96","352.00","192.01M","0.30%"
"2024- 02- 07","352.25","349.80","354.71","348.96","246.76M","1.28%"
"2024- 02- 06","347.80","348.23","350.43","345.52","132.64M","-0.39%"
"2024- 02- 05","349.15","352.70","352.96","344.95","189.50M","-1.21%"
"2024- 02- 02","353.43","345.10","353.44","344.94","212.40M","3.22%"
"2024- 02- 01","342.41","335.89","342.48","335.89","243.07M","1.84%"
"2024- 01- 31","336.24","335.50","337.20","335.15","126.92M","-0.37%"
"2024- 01- 30","337.48","340.96","341.62","337.08","128.28M","-0.11%"
"2024- 01- 29","337.84","335.68","340.51","334.66","114.36M","1.09%"
"2024- 01- 26","334.21","331.99","337.67","331.28","86.54M","0.12%"
"2024- 01- 25","333.80","333.20","334.19","331.37","101.11M","0.16%"
"2024- 01- 24","333.27","334.45","334.66","331.01","100.93M","-0.51%"
"2024- 01- 23","334.97","334.87","335.12","332.23","95.07M","0.70%"
"2024- 01- 22","332.63","335.76","336.15","332.63","92.55M","-0.11%"
"2024- 01- 19","332.99","331.60","333.27","330.63","102.43M","1.79%"
"2024- 01- 18","327.13","326.88","328.78","325.10","98.18M","0.31%"
"2024- 01- 17","326.11","335.51","336.06","326.06","134.92M","-2.58%"
"2024- 01- 16","334.73","337.76","338.74","334.22","94.32M","-1.33%"
"2024- 01- 15","339.24","338.61","340.54","337.66","86.54M","0.30%"
"2024- 01- 12","338.22","339.79","341.05","337.22","86.83M","-0.61%"
"2024- 01- 11","340.28","340.32","342.79","339.93","163.53M","-0.11%"
"2024- 01- 10","340.66","344.21","345.06","340.26","95.49M","-0.92%"
"2024- 01- 09","343.81","350.01","350.20","343.00","94.88M","-0.51%"
"2024- 01- 08","345.58","348.17","349.39","345.48","78.23M","-0.47%"
"2024- 01- 05","347.22","348.22","348.87","346.32","82.15M","-0.24%"
"2024- 01- 04","348.07","349.10","350.76","347.13","103.14M","-0.89%"
"2024- 01- 03","351.20","356.74","356.82","351.20","117.69M","-2.59%"
"2024- 01- 02","360.55","356.43","361.53","355.96","106.71M","0.72%"
"2023- 12- 28","357.99","352.75","357.99","352.01","108.35M","1.57%"
"2023- 12- 27","352.46","350.05","352.46","348.93","129.88M","0.58%"
"2023- 12- 26","350.43","350.57","351.16","349.00","109.35M","0.37%"
"2023- 12- 22","349.15","351.68","352.33","349.15","114.79M","0.11%"
"2023- 12- 21","348.78","348.25","349.78","346.70","128.07M","-0.38%"
"2023- 12- 20","350.11","346.67","350.40","346.22","213.30M","1.79%"
"2023- 12- 19","343.95","343.18","344.15","342.17","165.18M","0.13%"
"2023- 12- 18","343.50","344.36","344.51","342.23","126.76M","-0.14%"
"2023- 12- 15","343.99","343.43","345.68","342.94","144.48M","0.78%"
"2023- 12- 14","341.33","341.97","342.68","339.39","156.81M","1.38%"
"2023- 12- 13","336.68","339.09","339.46","336.54","74.86M","-0.91%"
"2023- 12- 12","339.77","339.42","340.69","338.81","96.20M","0.54%"
"2023- 12- 11","337.93","337.68","338.21","335.77","80.19M","0.40%"
"2023- 12- 08","336.60","335.33","337.27","334.91","72.00M","1.18%"
"2023- 12- 07","332.67","332.95","333.96","331.42","85.65M","-0.23%"
"2023- 12- 06","333.45","334.30","335.47","333.45","86.20M","0.18%"
"2023- 12- 05","332.85","335.21","335.27","332.61","93.83M","-0.98%"
"2023- 12- 04","336.14","337.20","337.76","335.63","90.95M","0.40%"
"2023- 12- 01","334.80","336.71","336.73","334.41","95.30M","-1.07%"
"2023- 11- 30","338.43","335.61","338.43","334.90","169.52M","0.54%"
"2023- 11- 29","336.62","336.64","337.10","334.34","88.76M","-0.27%"
"2023- 11- 28","337.52","335.15","337.65","334.49","97.44M","1.15%"
"2023- 11- 27","333.67","334.42","336.04","332.58","72.98M","-0.10%"
"2023- 11- 24","334.00","337.26","337.88","334.00","73.07M","-0.86%"
"2023- 11- 23","336.91","337.46","338.02","335.79","72.84M","0.03%"
"2023- 11- 22","336.81","334.08","337.56","333.46","72.50M","0.07%"
"2023- 11- 21","336.57","336.12","337.75","335.64","80.86M","0.70%"
"2023- 11- 20","334.23","331.30","335.56","331.05","73.76M","0.65%"
"2023- 11- 17","332.06","332.91","333.71","331.16","72.72M","-0.67%"
"2023- 11- 16","334.31","333.52","334.90","332.16","80.86M","0.10%"
"2023- 11- 15","333.96","333.15","333.97","330.99","117.06M","2.26%"
"2023- 11- 14","326.57","326.12","327.80","325.80","75.47M","1.01%"
"2023- 11- 13","323.31","326.78","327.63","322.64","68.73M","-0.14%"
"2023- 11- 10","323.75","322.78","324.18","321.26","65.66M","-0.47%"
"2023- 11- 09","325.29","324.38","326.89","323.32","93.29M","0.40%"
"2023- 11- 08","324.00","329.44","330.42","323.36","89.90M","-1.01%"
"2023- 11- 07","327.29","330.70","330.70","323.89","119.88M","-2.06%"
"2023- 11- 06","334.16","322.62","334.16","321.57","174.43M","5.00%"
"2023- 11- 03","318.24","317.96","318.76","316.50","89.97M","0.98%"
"2023- 11- 02","315.16","314.59","316.51","314.12","112.38M","1.76%"
"2023- 11- 01","309.71","307.55","310.41","307.33","88.98M","1.36%"
"2023- 10- 31","305.56","310.49","311.58","305.14","121.72M","-1.10%"
"2023- 10- 30","308.95","307.01","310.12","306.89","95.85M","0.14%"
"2023- 10- 27","308.53","309.68","310.43","307.24","92.93M","0.25%"
"2023- 10- 26","307.75","311.36","312.37","307.75","110.77M","-2.76%"
"2023- 10- 25","316.49","319.26","319.59","316.30","91.22M","-0.61%"
"2023- 10- 24","318.43","317.34","318.63","311.77","93.26M","0.93%"
"2023- 10- 23","315.50","317.43","318.30","315.09","89.16M","-0.77%"
"2023- 10- 20","317.96","319.45","320.18","316.28","112.71M","-1.49%"
"2023- 10- 19","322.76","324.75","325.08","322.40","115.71M","-1.84%"
"2023- 10- 18","328.82","326.32","329.06","326.12","134.13M","0.45%"
"2023- 10- 17","327.35","325.70","328.26","325.01","88.46M","1.26%"
"2023- 10- 16","323.29","324.10","326.00","321.32","93.10M","-0.76%"
"2023- 10- 13","325.77","326.11","327.33","325.43","91.78M","-0.94%"
"2023- 10- 12","328.85","326.89","328.85","326.89","108.82M","1.27%"
"2023- 10- 11","324.74","323.96","327.26","323.95","119.11M","1.76%"
"2023- 10- 10","319.11","322.97","324.85","319.06","128.82M","0.05%"
"2023- 10- 06","318.94","319.27","320.67","318.44","87.54M","0.11%"
"2023- 10- 05","318.58","321.46","321.71","318.46","104.52M","-0.27%"
"2023- 10- 04","319.45","322.61","322.61","318.88","149.16M","-2.22%"
"2023- 09- 27","326.71","325.05","327.50","324.73","81.60M","-0.06%"
"2023- 09- 26","326.90","331.51","331.56","326.63","90.03M","-1.41%"
"2023- 09- 25","331.58","331.40","332.65","330.10","84.40M","-0.13%"
"2023- 09- 22","332.02","329.90","332.59","329.11","87.03M","-0.31%"
"2023- 09- 21","333.04","336.73","337.54","333.01","96.33M","-1.69%"
"2023- 09- 20","338.75","338.54","339.87","337.57","104.35M","-0.02%"
"2023- 09- 19","338.82","341.50","342.18","338.21","96.05M","-0.54%"
"2023- 09- 18","340.67","342.98","344.39","340.51","100.51M","-1.25%"
"2023- 09- 15","344.98","341.56","346.29","341.02","159.76M","1.11%"
"2023- 09- 14","341.19","337.34","341.19","336.64","121.38M","1.55%"
"2023- 09- 13","335.99","335.83","337.61","334.67","106.78M","0.13%"
"2023- 09- 12","335.54","338.51","338.81","335.28","94.68M","-0.60%"
"2023- 09- 11","337.58","336.52","337.62","335.33","112.57M","0.35%"
"2023- 09- 08","336.40","336.29","336.66","333.92","79.83M","-0.10%"
"2023- 09- 07","336.74","336.93","338.02","335.08","88.39M","-0.33%"
"2023- 09- 06","337.85","339.66","340.48","337.36","91.71M","-0.72%"
"2023- 09- 05","340.29","340.15","341.45","339.25","82.75M","-0.21%"
"2023- 09- 04","341.02","339.10","341.02","337.60","96.70M","0.81%"
"2023- 09- 01","338.28","334.11","338.95","334.07","119.77M","1.05%"
"2023- 08- 31","334.75","335.38","336.06","333.39","146.25M","-0.06%"
"2023- 08- 30","334.94","337.11","337.69","334.94","89.26M","0.35%"
"2023- 08- 29","333.76","333.57","334.46","332.70","88.52M","0.37%"
"2023- 08- 28","332.53","332.10","332.67","330.87","95.14M","0.69%"
"2023- 08- 25","330.25","329.31","331.40","328.66","82.42M","-1.07%"
"2023- 08- 24","333.82","333.14","334.04","332.14","105.02M","1.42%"
"2023- 08- 23","329.15","328.95","330.22","327.87","87.58M","-0.17%"
"2023- 08- 22","329.70","331.65","332.53","328.69","93.98M","0.26%"
"2023- 08- 21","328.84","329.45","331.09","328.30","100.07M","0.13%"
"2023- 08- 18","328.42","326.90","330.65","326.24","119.16M","-0.55%"
"2023- 08- 17","330.23","329.63","330.43","325.74","117.99M","-0.32%"
"2023- 08- 16","331.28","333.69","334.17","330.54","126.66M","-1.50%"
"2023- 08- 14","336.33","338.58","339.52","335.28","125.09M","-0.78%"
"2023- 08- 11","338.98","341.88","343.03","338.80","128.91M","-0.43%"
"2023- 08- 10","340.46","339.69","340.46","339.09","164.73M","-0.34%"
"2023- 08- 09","341.61","339.00","342.38","338.45","115.52M","1.08%"
"2023- 08- 08","337.95","342.12","342.62","337.25","127.77M","-0.51%"
"2023- 08- 07","339.68","339.60","343.18","339.46","117.86M","-0.46%"
"2023- 08- 04","341.25","341.60","342.72","340.62","118.84M","-0.08%"
"2023- 08- 03","341.54","344.80","345.05","340.10","169.19M","-0.66%"
"2023- 08- 02","343.80","349.10","349.74","343.25","173.99M","-2.05%"
"2023- 08- 01","351.00","347.35","351.23","346.56","171.25M","1.56%"
"2023- 07- 31","345.62","346.50","347.18","344.72","168.15M","0.46%"
"2023- 07- 28","344.03","343.55","344.34","341.31","197.32M","-0.21%"
"2023- 07- 27","344.76","341.64","345.50","340.58","238.86M","1.23%"
"2023- 07- 26","340.56","345.18","345.42","339.53","296.54M","-1.26%"
"2023- 07- 25","344.92","345.78","346.27","342.93","200.89M","0.17%"
"2023- 07- 24","344.32","341.98","345.87","340.67","151.45M","0.56%"
"2023- 07- 21","342.39","339.19","342.39","337.45","130.85M","0.21%"
"2023- 07- 20","341.67","341.37","343.29","340.62","116.38M","-0.42%"
"2023- 07- 19","343.11","345.61","345.69","341.78","123.78M","-0.08%"
"2023- 07- 18","343.38","346.49","346.98","342.90","131.14M","-0.69%"
"2023- 07- 17","345.75","345.38","346.98","344.74","150.89M","-0.34%"
"2023- 07- 14","346.93","343.49","346.93","342.90","155.04M","1.70%"
"2023- 07- 13","341.13","341.60","343.01","341.10","154.06M","0.49%"
"2023- 07- 12","339.46","336.82","339.46","336.15","185.30M","0.72%"
"2023- 07- 11","337.02","333.47","337.02","332.91","147.28M","1.87%"
"2023- 07- 10","330.84","331.82","333.60","330.39","116.84M","-0.22%"
"2023- 07- 07","331.57","334.79","334.79","330.33","134.89M","-1.38%"
"2023- 07- 06","336.20","338.19","338.88","335.55","146.37M","-0.84%"
"2023- 07- 05","339.04","341.47","342.82","338.93","130.51M","-0.75%"
"2023- 07- 04","341.59","343.54","343.88","341.42","103.85M","-0.43%"
"2023- 07- 03","343.08","340.26","343.50","340.07","98.77M","1.52%"
"2023- 06- 30","337.95","337.56","338.98","335.04","103.95M","0.46%"
"2023- 06- 29","336.39","338.46","340.34","336.39","105.44M","-0.60%"
"2023- 06- 28","338.41","341.38","341.60","337.60","96.69M","-0.56%"
"2023- 06- 27","340.32","340.42","340.45","338.65","97.62M","-0.02%"
"2023- 06- 26","340.38","338.38","340.78","337.62","101.45M","0.57%"
"2023- 06- 23","338.45","341.95","342.21","338.21","100.44M","-0.78%"
"2023- 06- 22","341.12","338.52","341.56","338.46","103.39M","0.49%"
"2023- 06- 21","339.44","341.48","342.03","338.98","126.95M","-0.92%"
"2023- 06- 20","342.58","341.98","343.02","341.15","157.40M","-0.16%"
"2023- 06- 19","343.13","344.36","344.55","341.98","120.26M","-0.59%"
"2023- 06- 16","345.17","345.09","345.35","343.13","153.59M","0.58%"
"2023- 06- 15","343.19","345.93","346.58","342.72","117.11M","-0.42%"
"2023- 06- 14","344.65","346.49","346.88","343.69","124.56M","-0.50%"
"2023- 06- 13","346.39","346.92","347.46","345.38","119.45M","0.53%"
"2023- 06- 12","344.57","347.54","348.18","343.70","115.93M","-0.64%"
"2023- 06- 09","346.79","344.28","347.42","343.34","139.70M","1.18%"
"2023- 06- 08","342.75","342.16","342.75","340.48","155.26M","-0.14%"
"2023- 06- 07","343.22","344.76","345.63","343.03","115.84M","-0.20%"
"2023- 06- 05","343.91","344.89","344.95","343.04","117.54M","0.36%"
"2023- 06- 02","342.67","340.57","342.68","340.12","97.31M","1.36%"
"2023- 06- 01","338.08","338.36","339.61","337.29","96.81M","-0.31%"
"2023- 05- 31","339.12","341.55","342.51","339.04","191.23M","-0.70%"
"2023- 05- 30","341.50","340.53","341.74","339.73","130.05M","1.30%"
"2023- 05- 26","337.11","336.87","338.06","335.89","106.71M","0.52%"
"2023- 05- 25","335.35","337.72","338.20","334.98","94.20M","-0.34%"
"2023- 05- 24","336.49","335.36","337.32","335.09","95.15M","-0.18%"
"2023- 05- 23","337.09","337.32","338.54","336.37","88.88M","0.24%"
"2023- 05- 22","336.27","334.50","337.66","333.43","111.14M","0.61%"
"2023- 05- 19","334.23","332.67","334.27","332.00","108.74M","1.33%"
"2023- 05- 18","329.84","329.07","329.87","327.68","94.71M","0.99%"
"2023- 05- 17","326.61","325.61","327.54","324.82","92.27M","0.40%"
"2023- 05- 16","325.31","327.01","327.72","324.60","104.62M","0.26%"
"2023- 05- 15","324.46","322.99","324.56","321.61","89.27M","0.26%"
"2023- 05- 12","323.61","324.83","325.24","322.97","99.54M","-0.51%"
"2023- 05- 11","325.28","327.18","328.43","325.28","99.13M","-0.23%"
"2023- 05- 10","326.04","327.73","327.90","324.94","97.56M","-0.66%"
"2023- 05- 09","328.22","328.68","328.92","326.81","90.98M","-0.21%"
"2023- 05- 08","328.90","329.01","330.05","328.20","98.84M","0.84%"
"2023- 05- 04","326.17","325.75","326.33","324.26","98.92M","-0.11%"
"2023- 05- 03","326.52","326.99","327.93","325.83","103.77M","-0.78%"
"2023- 05- 02","329.09","326.99","329.49","326.74","113.91M","0.81%"
"2023- 04- 28","326.46","327.35","328.56","324.77","156.84M","0.42%"
"2023- 04- 27","325.09","323.78","325.74","321.18","147.06M","0.35%"
"2023- 04- 26","323.97","324.57","325.61","323.30","142.15M","-0.16%"
"2023- 04- 25","324.48","329.70","329.88","322.47","163.60M","-1.28%"
"2023- 04- 24","328.70","329.99","330.35","328.06","133.29M","-0.68%"
"2023- 04- 21","330.94","332.08","332.49","329.56","146.58M","-0.52%"
"2023- 04- 20","332.66","332.42","333.65","331.18","176.36M","-0.33%"
"2023- 04- 19","333.77","333.34","334.96","332.96","167.72M","0.08%"
"2023- 04- 18","333.50","334.93","334.97","331.35","238.29M","-0.13%"
"2023- 04- 17","333.92","333.62","334.30","332.18","244.97M","0.07%"
"2023- 04- 14","333.68","335.42","335.77","332.49","298.77M","0.18%"
"2023- 04- 13","333.09","330.06","333.09","329.63","172.64M","0.30%"
"2023- 04- 12","332.09","330.88","332.80","329.77","252.06M","0.37%"
"2023- 04- 11","330.87","328.00","331.58","326.87","148.44M","1.38%"
"2023- 04- 10","326.38","323.27","327.89","323.07","144.41M","0.93%"
"2023- 04- 07","323.36","321.29","323.89","320.53","137.01M","1.74%"
"2023- 04- 06","317.82","322.37","322.40","317.78","145.37M","-1.77%"
"2023- 04- 05","323.56","322.04","323.96","321.35","121.20M","0.56%"
"2023- 04- 04","321.75","320.97","322.85","320.24","155.30M","0.43%"
"2023- 04- 03","320.38","323.18","323.21","319.73","137.96M","-0.51%"
"2023- 03- 31","322.03","319.60","322.54","319.17","194.24M","1.25%"
"2023- 03- 30","318.05","318.51","319.48","316.78","187.35M","0.33%"
"2023- 03- 29","317.01","315.68","317.03","314.94","152.85M","0.21%"
"2023- 03- 28","316.36","314.15","316.36","313.49","120.38M","1.12%"
"2023- 03- 27","312.85","314.83","314.84","311.24","100.99M","-0.46%"
"2023- 03- 24","314.30","315.17","315.86","312.49","110.75M","-0.46%"
"2023- 03- 23","315.75","311.51","315.75","311.41","111.56M","0.52%"
"2023- 03- 22","314.11","313.33","314.26","311.94","93.69M","1.21%"
"2023- 03- 21","310.36","311.86","312.05","309.64","84.17M","0.28%"
"2023- 03- 20","309.49","311.59","313.44","309.39","89.48M","-0.83%"
"2023- 03- 17","312.07","312.20","312.68","309.80","126.08M","1.19%"
"2023- 03- 16","308.39","305.87","309.27","304.63","111.88M","-0.23%"
"2023- 03- 15","309.10","309.75","311.42","307.81","112.06M","1.15%"
"2023- 03- 14","305.58","310.18","310.35","305.45","129.87M","-2.44%"
"2023- 03- 13","313.21","311.77","313.69","308.03","125.38M","0.82%"
"2023- 03- 10","310.65","310.15","311.55","309.12","121.79M","-1.08%"
"2023- 03- 09","314.04","316.57","317.19","313.59","166.46M","-0.42%"
"2023- 03- 08","315.38","316.14","316.88","314.77","143.26M","-1.38%"
"2023- 03- 07","319.80","320.04","321.92","319.64","132.31M","-0.36%"
"2023- 03- 06","320.94","319.22","321.29","317.87","126.07M","1.45%"
"2023- 03- 03","316.36","317.69","318.30","315.30","113.90M","0.03%"
"2023- 03- 02","316.26","315.30","318.88","314.40","134.69M","0.46%"
"2023- 02- 28","314.80","315.75","317.69","314.13","131.22M","0.27%"
"2023- 02- 27","313.94","314.29","314.43","311.63","109.33M","-0.95%"
"2023- 02- 24","316.94","319.89","321.27","316.80","120.13M","-0.78%"
"2023- 02- 23","319.44","317.77","321.13","317.09","144.60M","1.11%"
"2023- 02- 22","315.94","317.94","318.74","315.83","131.26M","-1.75%"
"2023- 02- 21","321.56","322.16","322.88","320.02","117.78M","-0.07%"
"2023- 02- 20","321.79","321.07","322.97","318.15","113.03M","0.31%"
"2023- 02- 17","320.78","320.15","323.67","320.01","119.73M","-1.02%"
"2023- 02- 16","324.10","320.00","324.35","319.63","133.65M","1.92%"
"2023- 02- 15","317.99","324.43","324.54","317.41","136.83M","-1.69%"
"2023- 02- 14","323.47","324.50","325.80","322.83","103.20M","0.53%"
"2023- 02- 13","321.75","322.66","323.04","319.78","121.92M","-0.60%"
"2023- 02- 10","323.69","323.30","324.18","321.62","125.81M","-0.37%"
"2023- 02- 09","324.90","323.71","325.80","322.83","131.43M","-0.22%"
"2023- 02- 08","325.63","323.27","326.43","322.81","121.20M","1.58%"
"2023- 02- 07","320.55","319.36","321.45","318.20","113.21M","0.54%"
"2023- 02- 06","318.83","322.90","323.71","318.82","115.87M","-2.16%"
"2023- 02- 03","325.86","323.58","326.49","322.39","122.86M","0.60%"
"2023- 02- 02","323.93","325.94","326.73","321.97","152.77M","0.85%"
"2023- 02- 01","321.19","320.54","321.64","318.61","140.52M","1.24%"
"2023- 01- 31","317.26","322.71","323.26","317.09","194.66M","-1.68%"
"2023- 01- 30","322.67","328.09","328.97","322.35","141.80M","-1.62%"
"2023- 01- 27","327.98","326.22","329.71","324.98","156.16M","0.74%"
"2023- 01- 26","325.57","321.82","325.57","320.49","117.87M","1.50%"
"2023- 01- 25","320.76","320.81","321.48","319.75","97.52M","1.64%"
"2023- 01- 20","315.58","313.99","315.76","312.59","78.97M","0.56%"
