종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","5170","40","0.78","233956764030"
"006840","AK홀딩스","KOSPI","기타금융","8230","-300","-3.52","109027427030"
"027410","BGF","KOSPI","기타금융","4295","-110","-2.50","411103617345"
"282330","BGF리테일","KOSPI","유통","119500","-5300","-4.25","2065426767000"
"138930","BNK금융지주","KOSPI","기타금융","19680","-250","-1.25","6107236009440"
"001460","BYC","KOSPI","섬유·의류","50700","-1800","-3.43","316679805000"
"001465","BYC우","KOSPI","섬유·의류","28250","-800","-2.75","60846262500"
"001040","CJ","KOSPI","기타금융","207000","-11500","-5.26","6039638586000"
"079160","CJ CGV","KOSPI","오락·문화","5220","-320","-5.78","864339913980"
"00104K","CJ4우(전환)","KOSPI","기타금융","174000","-7600","-4.19","735413088000"
"000120","CJ대한통운","KOSPI","운송·창고","127800","-4200","-3.18","2915417563200"
"011150","CJ씨푸드","KOSPI","음식료·담배","2750","-100","-3.51","98809625750"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","14500","-810","-5.29","2900000000"
"001045","CJ우","KOSPI","기타금융","95600","-3600","-3.63","216077318800"
"097950","CJ제일제당","KOSPI","음식료·담배","207500","-6500","-3.04","3123743595000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","135800","-2300","-1.67","180265401400"
"000480","CR홀딩스","KOSPI","비금속","4945","-115","-2.27","231873473050"
"000590","CS홀딩스","KOSPI","기타금융","84800","-3000","-3.42","97900073600"
"012030","DB","KOSPI","IT 서비스","1880","-145","-7.16","378206994040"
"005830","DB손해보험","KOSPI","보험","186700","3600","1.97","12953992800000"
"016610","DB증권","KOSPI","증권","14520","-1110","-7.10","616321568280"
"000990","DB하이텍","KOSPI","전기·전자","90500","-5200","-5.43","3937165214000"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","22200","-1850","-7.69","437990016000"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","48300","-3400","-6.58","1012169197200"
"000215","DL우","KOSPI","화학","24600","-1150","-4.47","41478429000"
"375500","DL이앤씨","KOSPI","건설","49000","-2100","-4.11","1895987527000"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","37800","-1900","-4.79","79831747800"
"37550K","DL이앤씨우","KOSPI","건설","24750","-1000","-3.88","52318653750"
"007340","DN오토모티브","KOSPI","전기·전자","26500","-700","-2.57","1550537922500"
"004840","DRB동일","KOSPI","화학","5910","-230","-3.75","117786300000"
"155660","DSR","KOSPI","금속","3925","-100","-2.48","62800000000"
"069730","DSR제강","KOSPI","금속","4230","-65","-1.51","60912000000"
"017860","DS단석","KOSPI","화학","18000","-1130","-5.91","316515816000"
"092780","DYP","KOSPI","운송장비·부품","4740","-205","-4.15","62418500400"
"017940","E1","KOSPI","유통","103600","100","0.10","710696000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4285","-40","-0.92","1054491365000"
"383220","F&F","KOSPI","섬유·의류","69100","-1600","-2.26","2647018882500"
"007700","F&F홀딩스","KOSPI","기타금융","19620","-1830","-8.53","767423880540"
"114090","GKL","KOSPI","오락·문화","12850","-230","-1.76","794845359500"
"078930","GS","KOSPI","기타금융","70500","1800","2.62","6550534149000"
"006360","GS건설","KOSPI","건설","21350","-1050","-4.69","1827164811500"
"001250","GS글로벌","KOSPI","유통","2575","-25","-0.96","212524442300"
"007070","GS리테일","KOSPI","유통","21050","-950","-4.32","1759936085750"
"078935","GS우","KOSPI","기타금융","56500","0","0.00","100842669000"
"499790","GS피앤엘","KOSPI","기타금융","48700","-2600","-5.07","965761956700"
"012630","HDC","KOSPI","기타금융","25550","900","3.65","1526400971550"
"039570","HDC랩스","KOSPI","건설","8330","-30","-0.36","216226816330"
"089470","HDC현대EP","KOSPI","화학","5880","-140","-2.33","187572000000"
"294870","HDC현대산업개발","KOSPI","건설","22700","-450","-1.94","1496096391000"
"267270","HD건설기계","KOSPI","기계·장비","140800","100","0.07","6754755814400"
"009540","HD한국조선해양","KOSPI","기타금융","441500","-8500","-1.89","31246330714000"
"267250","HD현대","KOSPI","기타금융","291000","-1500","-0.51","22986987735000"
"443060","HD현대마린솔루션","KOSPI","일반서비스","182000","-2300","-1.25","8159302970000"
"071970","HD현대마린엔진","KOSPI","기계·장비","83700","-3600","-4.12","2839229131500"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","100200","-3800","-3.65","1122240000000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","987000","-63000","-6.00","35578522245000"
"329180","HD현대중공업","KOSPI","운송장비·부품","590000","-13000","-2.16","61927122750000"
"097230","HJ중공업","KOSPI","건설","23350","-1950","-7.71","2108396282400"
"014790","HL D&I","KOSPI","건설","3530","-155","-4.21","133640861530"
"003580","HLB글로벌","KOSPI","유통","1970","-1","-0.05","99807104850"
"204320","HL만도","KOSPI","운송장비·부품","57600","-5200","-8.28","2704730112000"
"060980","HL홀딩스","KOSPI","기타금융","46900","-2650","-5.35","432112071300"
"011200","HMM","KOSPI","운송·창고","24500","3150","14.75","23109330265000"
"035000","HS애드","KOSPI","일반서비스","8590","-200","-2.28","139223661960"
"002460","HS화성","KOSPI","건설","13600","-140","-1.02","138040000000"
"487570","HS효성","KOSPI","기타금융","61800","-4700","-7.07","230262288600"
"298050","HS효성첨단소재","KOSPI","화학","230000","-21000","-8.37","1030388040000"
"015360","INVENI","KOSPI","일반서비스","75800","-1500","-1.94","432060000000"
"175330","JB금융지주","KOSPI","기타금융","31150","-600","-1.89","5864099141600"
"234080","JW생명과학","KOSPI","제약","13050","-220","-1.66","206640929700"
"001060","JW중외제약","KOSPI","제약","33800","-2400","-6.63","787064434000"
"001067","JW중외제약2우B","KOSPI","제약","58200","0","0.00","12220428600"
"001065","JW중외제약우","KOSPI","제약","27850","-950","-3.30","9523335350"
"096760","JW홀딩스","KOSPI","기타금융","4050","-120","-2.88","299396015100"
"008970","KBI동양철관","KOSPI","금속","1666","-35","-2.06","172875667062"
"105560","KB금융","KOSPI","기타금융","153500","-5500","-3.46","57232544842500"
"415640","KB발해인프라","KOSPI","기타금융","9930","-90","-0.90","1216877291640"
"432320","KB스타리츠","KOSPI","부동산","3355","-15","-0.45","340244926175"
"002380","KCC","KOSPI","화학","583000","-68000","-10.45","5180812593000"
"344820","KCC글라스","KOSPI","비금속","27900","-1100","-3.79","445577284800"
"009070","KCTC","KOSPI","운송·창고","7100","-160","-2.20","213000000000"
"009440","KC그린홀딩스","KOSPI","기타금융","756","0","0.00","17568790596"
"119650","KC코트렐","KOSPI","기계·장비","918","0","0.00","100782913662"
"092220","KEC","KOSPI","전기·전자","1282","-23","-1.76","257378346762"
"003620","KG모빌리티","KOSPI","운송장비·부품","3810","-235","-5.81","771048414720"
"016380","KG스틸","KOSPI","금속","5840","-210","-3.47","584051958480"
"001390","KG케미칼","KOSPI","화학","5220","-220","-4.04","350956416600"
"001940","KISCO홀딩스","KOSPI","금속","25050","-1150","-4.39","355118319000"
"025000","KPX케미칼","KOSPI","화학","52800","-800","-1.49","231195835200"
"092230","KPX홀딩스","KOSPI","화학","82100","-700","-0.85","346843436600"
"000040","KR모터스","KOSPI","운송장비·부품","385","-11","-2.78","33254445840"
"044450","KSS해운","KOSPI","운송·창고","12650","1830","16.91","292036382000"
"030200","KT","KOSPI","통신","63000","-800","-1.25","15877366155000"
"033780","KT&G","KOSPI","음식료·담배","162300","-800","-0.49","19147609483500"
"058850","KTcs","KOSPI","IT 서비스","2705","-90","-3.22","115462925000"
"058860","KTis","KOSPI","IT 서비스","2880","-170","-5.57","100229760000"
"093050","LF","KOSPI","섬유·의류","21750","-800","-3.55","635970000000"
"003550","LG","KOSPI","기타금융","102500","-5200","-4.83","15807712462500"
"034220","LG디스플레이","KOSPI","전기·전자","12860","-1480","-10.32","6430000000000"
"051900","LG생활건강","KOSPI","화학","253500","-13500","-5.06","3879173356500"
"051905","LG생활건강우","KOSPI","화학","113900","-1900","-1.64","239155488300"
"064400","LG씨엔에스","KOSPI","IT 서비스","67600","-6900","-9.26","6549490084800"
"373220","LG에너지솔루션","KOSPI","전기·전자","393000","-34000","-7.96","91962000000000"
"003555","LG우","KOSPI","기타금융","76000","-4900","-6.06","228851124000"
"032640","LG유플러스","KOSPI","통신","16110","-430","-2.60","6924534799050"
"011070","LG이노텍","KOSPI","전기·전자","285000","-34000","-10.66","6745125495000"
"066570","LG전자","KOSPI","전기·전자","127600","-18100","-12.42","20784302981200"
"066575","LG전자우","KOSPI","전기·전자","58100","-8600","-12.89","998506135200"
"037560","LG헬로비전","KOSPI","오락·문화","2360","-75","-3.08","182774601400"
"051910","LG화학","KOSPI","화학","361000","-56500","-13.53","25483835823000"
"051915","LG화학우","KOSPI","화학","174700","-26300","-13.08","1343233360000"
"079550","LIG넥스원","KOSPI","금속","661000","152000","29.86","14542000000000"
"006260","LS","KOSPI","기타금융","265500","-19000","-6.68","8416350000000"
"010120","LS ELECTRIC","KOSPI","전기·전자","714000","-73000","-9.28","21420000000000"
"000680","LS네트웍스","KOSPI","유통","3275","-160","-4.66","258079877400"
"229640","LS에코에너지","KOSPI","기타금융","45000","-1300","-2.81","1378119555000"
"108320","LX세미콘","KOSPI","전기·전자","53500","-4900","-8.39","870140050000"
"001120","LX인터내셔널","KOSPI","유통","43200","600","1.41","1674432000000"
"108670","LX하우시스","KOSPI","화학","30600","-1150","-3.62","274410702000"
"108675","LX하우시스우","KOSPI","화학","16800","-360","-2.10","17343144000"
"383800","LX홀딩스","KOSPI","기타금융","8610","-480","-5.28","656776740900"
